age	sex	compositeHourlyWages	yearsEducation
47	Female	16.9	12
40	Female	26.4	15
25	Female	10.85	19
32	Male	17.44	12
20	Female	8.5	13
35	Male	12.5	11
65	Male	12.24	8
31	Female	13.66	15
58	Male	23.57	12
44	Male	16.8	18
53	Male	19.97	9
47	Male	32.47	17
21	Male	8.58	12
33	Female	15.72	14
26	Male	7.5	18
32	Female	12.38	12
57	Male	18.46	8
40	Female	25	16
33	Male	32.64	12
19	Male	7.1	9
24	Female	8.4	12
19	Male	10.4	12
47	Male	11.52	10
20	Female	6.76	14
17	Female	29.5	11
41	Female	18.35	13
20	Male	6	15
34	Female	18	13
34	Male	19	12
48	Male	34.31	18
25	Female	8.63	13
18	Male	7	12
35	Female	15.36	15
35	Female	6.85	9
19	Female	6.14	10
42	Male	16.3	15
42	Male	26.88	12
28	Female	6.57	13
30	Female	20.6	20
44	Male	10.5	12
42	Female	6.9	12
56	Male	26.75	12
36	Male	41.28	14
37	Male	3.35	7
37	Female	10	12
52	Female	13.08	13
18	Female	7.5	12
38	Female	12	13
33	Male	27.59	19
21	Female	5.75	14
26	Male	10	12
44	Male	23.57	12
32	Male	14.07	9
37	Female	5.6	12
61	Female	16.66	8
20	Male	6.8	13
39	Male	22.98	14
52	Male	30.49	16
41	Male	22	15
47	Female	11.85	11
30	Male	23	14
